CustomerID,Recency,Frequency,Monetary,R,F,M,RMF,customer_type
12408.0,33,105,2888.55,2,1,1,4,Platinum
12409.0,79,109,11072.67,3,1,1,5,Platinum
12410.0,309,26,693.3299999999999,4,3,2,9,Silver
12412.0,75,61,1226.88,3,2,2,7,Gold
12413.0,67,38,758.1,3,3,2,8,Gold
12414.0,218,18,562.41,4,3,3,10,Silver
12415.0,25,714,124914.53,2,1,1,4,Platinum
12417.0,4,192,3649.1000000000004,1,1,1,3,Platinum
12418.0,113,34,668.58,3,3,2,8,Gold
12420.0,64,29,600.3900000000001,3,3,3,9,Silver
12421.0,16,45,807.0400000000001,1,2,2,5,Platinum
12422.0,96,39,803.5599999999998,3,3,2,8,Gold
12423.0,1,125,1859.31,1,1,1,3,Platinum
12424.0,163,30,1760.9599999999996,4,3,1,8,Gold
12425.0,79,36,777.1999999999999,3,3,2,8,Gold
12426.0,195,30,582.73,4,3,3,10,Silver
12427.0,22,31,825.8,2,3,2,7,Gold
12428.0,26,294,7956.46,2,1,1,4,Platinum
12429.0,10,97,3750.4,1,2,1,4,Platinum
12430.0,44,11,256.4,2,4,4,10,Silver
12431.0,36,234,6419.950000000001,2,1,1,4,Platinum
12432.0,43,108,5059.319999999999,2,1,1,4,Platinum
12433.0,1,420,13375.87,1,1,1,3,Platinum
12434.0,85,50,806.14,3,2,2,7,Gold
12435.0,80,36,7829.890000000001,3,3,1,7,Gold
12436.0,100,16,509.01000000000005,3,4,3,10,Silver
12437.0,2,199,4951.41,1,1,1,3,Platinum
12438.0,15,98,2906.8500000000004,1,2,1,4,Platinum
12441.0,367,11,173.55,4,4,4,12,Bronze
12442.0,4,12,172.06,1,4,4,9,Silver
12444.0,22,176,5005.46,2,1,1,4,Platinum
12445.0,23,4,133.4,2,4,4,10,Silver
12446.0,58,57,1002.3100000000001,3,2,2,7,Gold
12447.0,244,26,476.49,4,3,3,10,Silver
12448.0,45,22,449.4500000000001,2,3,3,8,Gold
12449.0,23,191,4067.2900000000004,2,1,1,4,Platinum
12450.0,157,8,197.88,4,4,4,12,Bronze
12451.0,11,354,9035.52,1,1,1,3,Platinum
12452.0,17,22,430.57,1,3,3,7,Gold
12453.0,135,43,707.0899999999999,3,2,2,7,Gold
12454.0,57,15,3528.34,3,4,1,8,Gold
12455.0,74,90,2466.8599999999997,3,2,1,6,Gold
12456.0,45,125,3181.04,2,1,1,4,Platinum
12457.0,67,62,2363.23,3,2,1,6,Gold
12458.0,72,38,947.4,3,3,2,8,Gold
12461.0,95,35,826.88,3,3,2,8,Gold
12462.0,19,62,1189.5900000000001,2,2,2,6,Gold
12463.0,54,83,1344.7800000000002,3,2,2,7,Gold
12464.0,11,29,1212.05,1,3,2,6,Gold
12465.0,18,47,742.19,1,2,2,5,Platinum
12468.0,188,38,729.54,4,3,2,9,Silver
12471.0,3,459,19788.65,1,1,1,3,Platinum
12472.0,33,339,6572.110000000001,2,1,1,4,Platinum
12473.0,30,167,3928.05,2,1,1,4,Platinum
12474.0,18,422,7324.089999999999,1,1,1,3,Platinum
12475.0,54,36,723.3799999999999,3,3,2,8,Gold
12476.0,16,233,6816.42,1,1,1,3,Platinum
12477.0,23,300,13219.740000000002,2,1,1,4,Platinum
12478.0,4,36,680.9900000000001,1,3,2,6,Gold
12479.0,12,31,527.2,1,3,3,7,Gold
12480.0,29,154,3281.6299999999997,2,1,1,4,Platinum
12481.0,23,216,5579.82,2,1,1,4,Platinum
12483.0,18,75,2484.98,1,2,1,4,Platinum
12484.0,33,343,4527.32,2,1,1,4,Platinum
12488.0,10,55,1298.6600000000003,1,2,2,5,Platinum
12489.0,337,15,334.92999999999995,4,4,3,11,Bronze
12490.0,6,245,5417.93,1,1,1,3,Platinum
12491.0,39,26,460.40000000000003,2,3,3,8,Gold
12492.0,64,20,263.21,3,3,4,10,Silver
12493.0,166,22,433.74,4,3,3,10,Silver
12494.0,16,77,1246.1,1,2,2,5,Platinum
12497.0,82,14,1043.1,3,4,2,9,Silver
12498.0,22,23,403.7,2,3,3,8,Gold
12500.0,24,61,4257.820000000001,2,2,1,5,Platinum
12501.0,337,149,2169.3900000000003,4,1,1,6,Gold
12502.0,96,147,3723.87,3,1,1,5,Platinum
12504.0,19,9,482.04999999999995,2,4,3,9,Silver
12506.0,233,23,73.50000000000001,4,3,4,11,Bronze
12507.0,135,21,1304.81,3,3,2,8,Gold
12508.0,27,68,397.88,2,2,3,7,Gold
12509.0,285,7,176.5,4,4,4,12,Bronze
12510.0,143,33,982.5699999999999,4,3,2,9,Silver
12512.0,67,31,132.18,3,3,4,10,Silver
12513.0,113,35,612.2900000000001,3,3,3,9,Silver
12514.0,268,51,1017.6800000000001,4,2,2,8,Gold
12515.0,354,16,383.70000000000005,4,4,3,11,Bronze
12516.0,78,26,1312.06,3,3,2,8,Gold
12517.0,29,279,2481.6,2,1,1,4,Platinum
12518.0,1,124,2056.89,1,1,1,3,Platinum
12519.0,64,17,330.84000000000003,3,4,3,10,Silver
12520.0,80,152,2634.26,3,1,1,5,Platinum
12521.0,143,38,599.68,4,3,3,10,Silver
12522.0,40,12,192.72000000000003,2,4,4,10,Silver
12523.0,20,106,1789.77,2,1,1,4,Platinum
12524.0,10,144,4485.719999999999,1,1,1,3,Platinum
12526.0,1,71,1316.6600000000003,1,2,2,5,Platinum
12527.0,82,18,348.71000000000004,3,3,3,9,Silver
12528.0,10,92,1933.4800000000002,1,2,1,4,Platinum
12530.0,60,66,1662.28,3,2,1,6,Gold
12531.0,15,17,125.22,1,4,4,9,Silver
12532.0,31,16,349.83000000000004,2,4,3,9,Silver
12534.0,131,63,1089.18,3,2,2,7,Gold
12535.0,92,34,716.35,3,3,2,8,Gold
12536.0,44,261,12601.830000000002,2,1,1,4,Platinum
12538.0,30,21,363.95,2,3,3,8,Gold
12539.0,23,273,5568.349999999999,2,1,1,4,Platinum
12540.0,20,478,13400.24,2,1,1,4,Platinum
12541.0,30,52,981.1800000000002,2,2,2,6,Gold
12544.0,37,19,372.70000000000005,2,3,3,8,Gold
12545.0,76,50,1000.39,3,2,2,7,Gold
12546.0,47,69,1161.5,2,2,2,6,Gold
12547.0,198,8,207.8,4,4,4,12,Bronze
12548.0,167,5,95.19999999999999,4,4,4,12,Bronze
12550.0,80,57,964.83,3,2,2,7,Gold
12551.0,358,10,168.0,4,4,4,12,Bronze
12552.0,39,20,437.82,2,3,3,8,Gold
12553.0,9,191,3692.2799999999997,1,1,1,3,Platinum
12556.0,51,119,599.56,2,1,3,6,Gold
12557.0,17,33,11990.96,1,3,1,5,Platinum
12558.0,8,11,269.96000000000004,1,4,4,9,Silver
12559.0,311,21,561.7099999999999,4,3,3,10,Silver
12560.0,6,105,2134.01,1,1,1,3,Platinum
12561.0,303,16,238.85,4,4,4,12,Bronze
12562.0,9,168,3781.74,1,1,1,3,Platinum
12564.0,262,21,456.90000000000003,4,3,3,10,Silver
12565.0,289,9,145.92000000000002,4,4,4,12,Bronze
12566.0,87,19,351.65,3,3,3,9,Silver
12567.0,23,446,9401.279999999999,2,1,1,4,Platinum
12569.0,3,188,4124.6900000000005,1,1,1,3,Platinum
12571.0,40,34,519.61,2,3,3,8,Gold
12572.0,9,60,1020.42,1,2,2,5,Platinum
12573.0,228,28,160.54,4,3,4,11,Bronze
12574.0,316,11,218.45000000000002,4,4,4,12,Bronze
12576.0,36,88,1315.83,2,2,2,6,Gold
12577.0,36,146,626.5999999999999,2,1,3,6,Gold
12578.0,22,114,2794.5099999999998,2,1,1,4,Platinum
12579.0,79,29,440.41999999999996,3,3,3,9,Silver
12580.0,247,24,415.70000000000005,4,3,3,10,Silver
12581.0,40,15,197.70999999999998,2,4,4,10,Silver
12582.0,239,22,511.3599999999999,4,3,3,10,Silver
12583.0,3,247,7281.379999999999,1,1,1,3,Platinum
12584.0,4,96,2338.1500000000005,1,2,1,4,Platinum
12585.0,235,87,2040.0999999999997,4,2,1,7,Gold
12586.0,18,11,196.94000000000003,1,4,4,9,Silver
12587.0,8,4,144.0,1,4,4,9,Silver
12588.0,40,10,214.89999999999998,2,4,4,10,Silver
12589.0,29,35,646.6800000000001,2,3,3,8,Gold
12590.0,212,68,9864.26,4,2,1,7,Gold
12591.0,318,26,452.84999999999997,4,3,3,10,Silver
12592.0,93,18,437.6,3,3,3,9,Silver
12593.0,109,21,418.0999999999999,3,3,3,9,Silver
12594.0,38,118,3338.2200000000003,2,1,1,4,Platinum
12596.0,52,27,618.27,3,3,3,9,Silver
12597.0,20,206,3811.2199999999993,2,1,1,4,Platinum
12598.0,10,132,3023.08,1,1,1,3,Platinum
12599.0,30,62,1032.5800000000004,2,2,2,6,Gold
12600.0,29,64,2599.04,2,2,1,5,Platinum
12601.0,190,28,577.0600000000001,4,3,3,10,Silver
12602.0,59,12,153.12,3,4,4,11,Bronze
12603.0,22,2,739.1999999999999,2,4,2,8,Gold
12604.0,80,16,254.17999999999998,3,4,4,11,Bronze
12607.0,61,101,1579.51,3,1,2,6,Gold
12609.0,79,60,1126.8500000000001,3,2,2,7,Gold
12610.0,23,106,2099.54,2,1,1,4,Platinum
12611.0,53,65,1193.32,3,2,2,7,Gold
12612.0,75,19,704.04,3,3,2,8,Gold
12613.0,58,153,3344.38,3,1,1,5,Platinum
12614.0,278,20,315.59999999999997,4,3,3,10,Silver
12615.0,3,105,2291.1899999999996,1,1,1,3,Platinum
12616.0,96,32,713.3,3,3,2,8,Gold
12617.0,30,41,352.97999999999996,2,3,3,8,Gold
12618.0,22,11,177.31,2,4,4,10,Silver
12619.0,17,90,3641.24,1,2,1,4,Platinum
12620.0,15,92,1339.41,1,2,2,5,Platinum
12621.0,2,467,13689.67,1,1,1,3,Platinum
12622.0,233,11,180.09999999999997,4,4,4,12,Bronze
12623.0,277,18,305.1,4,3,4,11,Bronze
12624.0,107,38,641.13,3,3,3,9,Silver
12625.0,212,86,2683.82,4,2,1,7,Gold
12626.0,24,294,6620.48,2,1,1,4,Platinum
12627.0,11,230,4478.530000000001,1,1,1,3,Platinum
12628.0,5,41,786.4599999999999,1,3,2,6,Gold
12630.0,10,64,1270.88,1,2,2,5,Platinum
12631.0,58,31,640.5,3,3,3,9,Silver
12633.0,59,101,2163.98,3,1,1,5,Platinum
12635.0,90,101,1689.1800000000003,3,1,1,5,Platinum
12637.0,68,382,6002.9,3,1,1,5,Platinum
12638.0,34,39,671.69,2,3,2,7,Gold
12639.0,239,22,486.1,4,3,3,10,Silver
12640.0,24,53,1174.58,2,2,2,6,Gold
12641.0,116,10,185.9,3,4,4,11,Bronze
12642.0,26,47,1013.26,2,2,2,6,Gold
12643.0,129,24,3344.6399999999994,3,3,1,7,Gold
12644.0,130,31,477.90999999999997,3,3,3,9,Silver
12645.0,34,73,1775.1800000000003,2,2,1,5,Platinum
12646.0,5,45,1346.97,1,2,2,5,Platinum
12647.0,23,121,3722.82,2,1,1,4,Platinum
12648.0,155,21,318.04999999999995,4,3,3,10,Silver
12649.0,108,31,623.51,3,3,3,9,Silver
12650.0,4,20,314.44,1,3,3,7,Gold
12651.0,335,9,114.0,4,4,4,12,Bronze
12652.0,332,48,919.98,4,2,2,8,Gold
12653.0,149,43,2209.85,4,2,1,7,Gold
12654.0,11,38,601.9799999999999,1,3,3,7,Gold
12656.0,18,126,4051.17,1,1,1,3,Platinum
12657.0,12,47,1643.18,1,2,2,5,Platinum
12658.0,19,36,686.05,2,3,2,7,Gold
12659.0,30,5,91.68,2,4,4,10,Silver
12660.0,12,13,245.10000000000002,1,4,4,9,Silver
12662.0,1,230,3849.7799999999997,1,1,1,3,Platinum
12664.0,9,37,4881.88,1,3,1,5,Platinum
12665.0,325,3,63.0,4,4,4,12,Bronze
12667.0,59,33,620.1300000000001,3,3,3,9,Silver
12668.0,12,161,3807.15,1,1,1,3,Platinum
12669.0,151,101,2744.03,4,1,1,6,Gold
12670.0,11,92,2996.0500000000006,1,2,1,4,Platinum
12672.0,330,10,225.9,4,4,4,12,Bronze
12673.0,6,42,610.52,1,2,3,6,Gold
12674.0,39,83,1970.6000000000001,2,2,1,5,Platinum
12676.0,25,45,1331.39,2,2,2,6,Gold
12678.0,43,165,17628.46,2,1,1,4,Platinum
12679.0,59,48,1113.02,3,2,2,7,Gold
12680.0,1,52,862.8100000000002,1,2,2,5,Platinum
12681.0,15,638,13787.54,1,1,1,3,Platinum
12682.0,4,524,12279.82,1,1,1,3,Platinum
12683.0,5,344,8476.57,1,1,1,3,Platinum
12684.0,8,105,2283.63,1,1,1,3,Platinum
12685.0,29,157,2863.08,2,1,1,4,Platinum
12686.0,372,7,89.14,4,4,4,12,Bronze
12688.0,114,171,4873.8099999999995,3,1,1,5,Platinum
12689.0,26,72,1247.61,2,2,2,6,Gold
12690.0,206,16,389.01,4,4,3,11,Bronze
12691.0,29,32,1035.8,2,3,2,7,Gold
12693.0,128,39,855.91,3,3,2,8,Gold
12694.0,71,37,869.67,3,3,2,8,Gold
12695.0,8,27,582.1,1,3,3,7,Gold
12697.0,29,41,957.5899999999999,2,3,2,7,Gold
12700.0,8,268,4939.99,1,1,1,3,Platinum
12701.0,80,53,797.71,3,2,2,7,Gold
12702.0,20,12,219.0,2,4,4,10,Silver
12703.0,72,21,283.55,3,3,4,10,Silver
12704.0,8,88,2340.8399999999997,1,2,1,4,Platinum
12705.0,16,334,6868.290000000001,1,1,1,3,Platinum
12707.0,292,33,603.42,4,3,3,10,Silver
12708.0,30,157,2712.91,2,1,1,4,Platinum
12709.0,16,207,9706.52,1,1,1,3,Platinum
12710.0,97,77,1149.0200000000002,3,2,2,7,Gold
12712.0,29,133,4396.13,2,1,1,4,Platinum
12713.0,1,38,848.5500000000001,1,3,2,6,Gold
12714.0,10,259,4708.860000000001,1,1,1,3,Platinum
12715.0,107,20,343.35999999999996,3,3,3,9,Silver
12716.0,4,69,1053.4900000000002,1,2,2,5,Platinum
12717.0,152,55,1030.98,4,2,2,8,Gold
12718.0,72,19,238.25,3,3,4,10,Silver
12719.0,6,39,644.95,1,3,3,7,Gold
12720.0,3,354,5781.730000000001,1,1,1,3,Platinum
12721.0,32,161,2656.13,2,1,1,4,Platinum
12722.0,86,53,997.6300000000001,3,2,2,7,Gold
12723.0,4,69,725.07,1,2,2,5,Platinum
12724.0,6,53,1031.4099999999999,1,2,2,5,Platinum
12725.0,372,24,427.8,4,3,3,10,Silver
12726.0,29,124,2609.1,2,1,1,4,Platinum
12727.0,11,139,3980.7000000000003,1,1,1,3,Platinum
12728.0,72,46,836.3299999999999,3,2,2,7,Gold
12729.0,114,26,453.01000000000005,3,3,3,9,Silver
12731.0,24,274,18895.91,2,1,1,4,Platinum
12732.0,180,12,236.26000000000005,4,4,4,12,Bronze
12733.0,235,22,383.95000000000005,4,3,3,10,Silver
12734.0,353,4,110.39999999999999,4,4,4,12,Bronze
12735.0,316,43,779.57,4,2,2,8,Gold
12736.0,333,4,234.00000000000003,4,4,4,12,Bronze
12738.0,373,11,155.35,4,4,4,12,Bronze
12739.0,79,38,1013.0400000000001,3,3,2,8,Gold
12740.0,64,27,427.59999999999997,3,3,3,9,Silver
12743.0,135,131,540.13,3,1,3,7,Gold
12744.0,52,222,21279.29,3,1,1,5,Platinum
12747.0,3,103,4196.009999999999,1,1,1,3,Platinum
12748.0,1,4412,33053.19,1,1,1,3,Platinum
12749.0,4,199,4090.88,1,1,1,3,Platinum
12750.0,129,15,275.88,3,4,4,11,Bronze
12752.0,82,53,4366.780000000001,3,2,1,6,Gold
12753.0,23,197,21429.39,2,1,1,4,Platinum
12754.0,236,63,3010.7400000000002,4,2,1,7,Gold
12755.0,281,4,3811.9499999999994,4,4,1,9,Silver
12756.0,87,4,112.08000000000001,3,4,4,11,Bronze
12757.0,16,364,7834.650000000001,1,1,1,3,Platinum
12758.0,117,97,2791.59,3,2,1,6,Gold
12759.0,53,95,1531.4400000000003,3,2,2,7,Gold
12762.0,8,69,1898.5200000000004,1,2,1,4,Platinum
12763.0,139,18,494.08000000000004,3,3,3,9,Silver
12764.0,317,45,1693.88,4,2,1,7,Gold
12766.0,4,310,6989.63,1,1,1,3,Platinum
12769.0,239,32,1143.6,4,3,2,9,Silver
12770.0,211,12,1351.4499999999998,4,4,2,10,Silver
12772.0,60,55,892.4700000000001,3,2,2,7,Gold
12775.0,18,66,1386.0400000000002,1,2,2,5,Platinum
12778.0,20,50,822.23,2,2,2,6,Gold
12779.0,38,149,3981.3599999999997,2,1,1,4,Platinum
12781.0,64,25,826.74,3,3,2,8,Gold
12782.0,5,103,2330.9200000000005,1,1,1,3,Platinum
12783.0,3,84,2225.91,1,2,1,4,Platinum
12784.0,10,57,532.8199999999999,1,2,3,6,Gold
12785.0,365,14,311.95,4,4,3,11,Bronze
12787.0,10,20,463.65999999999997,1,3,3,7,Gold
12789.0,66,4,91.85000000000001,3,4,4,11,Bronze
12790.0,193,21,324.9200000000001,4,3,3,10,Silver
12791.0,374,2,192.60000000000002,4,4,4,12,Bronze
12792.0,257,25,400.53999999999996,4,3,3,10,Silver
12793.0,335,24,545.48,4,3,3,10,Silver
12794.0,54,45,860.41,3,2,2,7,Gold
12795.0,19,14,430.48,2,4,3,9,Silver
12797.0,366,13,254.03,4,4,4,12,Bronze
12798.0,11,8,6977.04,1,4,1,6,Gold
12802.0,187,25,427.58,4,3,3,10,Silver
12808.0,37,28,483.65000000000003,2,3,3,8,Gold
12809.0,178,25,489.31,4,3,3,10,Silver
12811.0,261,31,514.8499999999999,4,3,3,10,Silver
12812.0,45,15,229.64,2,4,4,10,Silver
12814.0,102,2,125.92,3,4,4,11,Bronze
12815.0,148,47,1063.46,4,2,2,8,Gold
12816.0,96,29,572.2,3,3,3,9,Silver
12817.0,282,4,166.04,4,4,4,12,Bronze
12818.0,262,14,1542.08,4,4,2,10,Silver
12820.0,4,59,942.34,1,2,2,5,Platinum
12821.0,215,6,92.72,4,4,4,12,Bronze
12822.0,71,46,948.8800000000002,3,2,2,7,Gold
12823.0,75,5,1759.5,3,4,1,8,Gold
12824.0,60,25,397.11999999999995,3,3,3,9,Silver
12826.0,3,91,1474.72,1,2,2,5,Platinum
12827.0,6,25,430.15,1,3,3,7,Gold
12828.0,3,56,1018.71,1,2,2,5,Platinum
12829.0,337,11,293.0,4,4,4,12,Bronze
12830.0,38,38,6814.640000000001,2,3,1,6,Gold
12831.0,263,9,215.05,4,4,4,12,Bronze
12832.0,33,27,383.03000000000003,2,3,3,8,Gold
12833.0,146,24,417.38,4,3,3,10,Silver
12834.0,283,18,312.38,4,3,3,10,Silver
12836.0,60,174,2610.3599999999997,3,1,1,5,Platinum
12837.0,174,12,134.1,4,4,4,12,Bronze
12838.0,34,120,671.95,2,1,2,5,Platinum
12839.0,3,314,5591.42,1,1,1,3,Platinum
12840.0,144,113,2726.77,4,1,1,6,Gold
12841.0,5,414,3991.5800000000004,1,1,1,3,Platinum
12842.0,71,34,1118.99,3,3,2,8,Gold
12843.0,66,103,1702.2600000000002,3,1,1,5,Platinum
12844.0,30,52,325.96,2,2,3,7,Gold
12845.0,268,27,354.09,4,3,3,10,Silver
12847.0,23,84,843.6399999999999,2,2,2,6,Gold
12849.0,32,48,1010.2900000000001,2,2,2,6,Gold
12851.0,97,47,131.80999999999997,3,2,4,9,Silver
12852.0,295,17,311.55,4,4,3,11,Bronze
12853.0,135,78,1957.1000000000004,3,2,1,6,Gold
12854.0,79,109,1316.2500000000002,3,1,2,6,Gold
12855.0,373,3,38.1,4,4,4,12,Bronze
12856.0,8,311,2170.7799999999997,1,1,1,3,Platinum
12857.0,211,46,1106.4,4,2,2,8,Gold
12863.0,53,5,521.2,3,4,3,10,Silver
12864.0,139,3,147.12,3,4,4,11,Bronze
12865.0,27,95,1568.23,2,2,2,6,Gold
12866.0,284,26,559.12,4,3,3,10,Silver
12867.0,27,534,4009.3399999999997,2,1,1,4,Platinum
12868.0,186,107,1607.0600000000002,4,1,2,7,Gold
12871.0,85,11,380.64000000000004,3,4,3,10,Silver
12872.0,327,66,599.9700000000001,4,2,3,9,Silver
12873.0,283,4,374.0,4,4,3,11,Bronze
12875.0,144,2,343.2300000000001,4,4,3,11,Bronze
12876.0,58,85,2218.020000000001,3,2,1,6,Gold
12877.0,4,154,1535.7700000000002,1,1,2,4,Platinum
12878.0,237,47,854.99,4,2,2,8,Gold
12879.0,45,10,573.22,2,4,3,9,Silver
12881.0,276,7,298.0,4,4,4,12,Bronze
12882.0,10,13,1463.0399999999997,1,4,2,7,Gold
12883.0,25,42,703.47,2,2,2,6,Gold
12884.0,89,7,309.05000000000007,3,4,3,10,Silver
12885.0,64,71,1175.2199999999998,3,2,2,7,Gold
12886.0,68,82,1378.3999999999999,3,2,2,7,Gold
12888.0,215,5,354.12,4,4,3,11,Bronze
12890.0,25,79,376.71999999999997,2,2,3,7,Gold
12891.0,186,3,331.0,4,4,3,11,Bronze
12893.0,31,31,176.54999999999998,2,3,4,9,Silver
12895.0,43,22,372.8,2,3,3,8,Gold
12897.0,205,4,216.5,4,4,4,12,Bronze
12901.0,9,116,17654.539999999997,1,1,1,3,Platinum
12902.0,265,10,138.67999999999998,4,4,4,12,Bronze
12904.0,19,71,496.06,2,2,3,7,Gold
12906.0,12,63,2919.81,1,2,1,4,Platinum
12908.0,177,2,750.0,4,4,2,10,Silver
12909.0,40,91,2178.67,2,2,1,5,Platinum
12910.0,24,75,3075.0400000000004,2,2,1,5,Platinum
12912.0,3,24,1662.3,1,3,1,5,Platinum
12913.0,5,50,2483.6299999999997,1,2,1,4,Platinum
12915.0,149,22,363.65,4,3,3,10,Silver
12916.0,139,103,2944.95,3,1,1,5,Platinum
12917.0,129,2,594.0,3,4,3,10,Silver
12919.0,9,50,1335.19,1,2,2,5,Platinum
12920.0,18,27,162.77999999999997,1,3,4,8,Gold
12921.0,10,720,16587.09,1,1,1,3,Platinum
12922.0,162,28,405.38,4,3,3,10,Silver
12923.0,65,28,172.81999999999996,3,3,4,10,Silver
12924.0,89,30,933.7000000000002,3,3,2,8,Gold
12925.0,5,45,694.05,1,2,2,5,Platinum
12928.0,36,84,2062.7,2,2,1,5,Platinum
12929.0,312,8,117.85,4,4,4,12,Bronze
12930.0,79,25,415.8,3,3,3,9,Silver
12931.0,22,82,42055.96,2,2,1,5,Platinum
12933.0,25,106,607.53,2,1,3,6,Gold
12935.0,3,129,2160.7,1,1,1,3,Platinum
12936.0,18,62,1063.8999999999999,1,2,2,5,Platinum
12937.0,16,120,1504.2700000000002,1,1,2,4,Platinum
12938.0,26,9,114.13999999999999,2,4,4,10,Silver
12939.0,65,47,11581.800000000001,3,2,1,6,Gold
12940.0,55,96,899.69,3,2,2,7,Gold
12942.0,132,70,675.6,3,2,2,7,Gold
12944.0,36,30,604.5099999999999,2,3,3,8,Gold
12945.0,289,23,462.95000000000005,4,3,3,10,Silver
12947.0,144,97,1603.99,4,2,2,8,Gold
12948.0,17,116,2064.95,1,1,1,3,Platinum
12949.0,31,215,4167.22,2,1,1,4,Platinum
12950.0,3,23,1843.0,1,3,1,5,Platinum
12951.0,9,63,1064.07,1,2,2,5,Platinum
12952.0,6,79,1387.79,1,2,2,5,Platinum
12953.0,10,17,329.85,1,4,3,8,Gold
12955.0,2,180,4757.160000000001,1,1,1,3,Platinum
12956.0,307,19,108.07,4,3,4,11,Bronze
12957.0,10,238,4017.54,1,1,1,3,Platinum
12962.0,8,16,266.39,1,4,4,9,Silver
12963.0,9,95,1856.63,1,2,1,4,Platinum
12965.0,90,108,769.8100000000001,3,1,2,6,Gold
12966.0,10,10,160.18,1,4,4,9,Silver
12967.0,359,19,1660.9,4,3,1,8,Gold
12968.0,113,5,135.95,3,4,4,11,Bronze
12970.0,8,129,405.47,1,1,3,5,Platinum
12971.0,4,305,11189.91,1,1,1,3,Platinum
12974.0,198,8,144.8,4,4,4,12,Bronze
12976.0,212,22,738.6,4,3,2,9,Silver
12977.0,157,9,39.24,4,4,4,12,Bronze
12980.0,158,20,7374.9,4,3,1,8,Gold
12981.0,30,20,372.2199999999999,2,3,3,8,Gold
12982.0,243,28,390.53999999999996,4,3,3,10,Silver
12984.0,19,4,97.5,2,4,4,10,Silver
12985.0,1,76,1239.3799999999999,1,2,2,5,Platinum
12987.0,74,28,558.7,3,3,3,9,Silver
12988.0,293,83,505.82000000000005,4,2,3,9,Silver
12989.0,4,64,6924.110000000001,1,2,1,4,Platinum
12990.0,32,13,409.5000000000001,2,4,3,9,Silver
12991.0,24,31,503.76000000000005,2,3,3,8,Gold
12993.0,24,27,414.75999999999993,2,3,3,8,Gold
12994.0,5,61,974.42,1,2,2,5,Platinum
12995.0,86,3,211.32,3,4,4,11,Bronze
12997.0,23,59,1226.89,2,2,2,6,Gold
12999.0,197,28,455.88,4,3,3,10,Silver
13000.0,107,31,534.8500000000001,3,3,3,9,Silver
13001.0,5,337,9785.970000000001,1,1,1,3,Platinum
13002.0,319,7,120.94999999999999,4,4,4,12,Bronze
13003.0,106,6,149.05,3,4,4,11,Bronze
13004.0,12,404,5655.91,1,1,1,3,Platinum
